video,class,scene,angle,behavior
Violence/Classroom/Bottom/Headlock/Bottom26T10_Headlock_010.mp4,Violence,Classroom,Bottom,Headlock
Violence/Classroom/Bottom/Strangling/Bottom26T10_Strangling_026.mp4,Violence,Classroom,Bottom,Strangling
Violence/Classroom/Bottom/Headlock/Bottom12T10_Headlock_016.mp4,Violence,Classroom,Bottom,Headlock
PreViolence/Corridor/Bottom/Pointing/Bottom9T11_Pointing_019.mp4,PreViolence,Corridor,Bottom,Pointing
Violence/Corridor/Top/Kicking/Top9T11_Kicking_002.mp4,Violence,Corridor,Top,KickingAttack
Violence/Classroom/Top/Strangling/Top26T10_Strangling_037.mp4,Violence,Classroom,Top,Strangling
Violence/Classroom/Top/Kicking/Top26T10_Kicking_021.mp4,Violence,Classroom,Top,KickingAttack
PreViolence/Classroom/Center/Pointing/Center12T10_Pointing_008.mp4,PreViolence,Classroom,Center,Pointing
PreViolence/Classroom/Bottom/Pointing/Bottom12T10_Pointing_002.mp4,PreViolence,Classroom,Bottom,Pointing
Violence/Classroom/Center/Hitting/Center26T10_Hitting_002.mp4,Violence,Classroom,Center,Hitting
Violence/Corridor/Bottom/Headlock/Bottom16T11_Headlock_005.mp4,Violence,Corridor,Bottom,Headlock
Violence/Corridor/Bottom/Hitting/Bottom9T11_Hitting_006.mp4,Violence,Corridor,Bottom,Hitting
Violence/Classroom/Bottom/Strangling/Bottom26T10_Strangling_011.mp4,Violence,Classroom,Bottom,Strangling
Violence/Corridor/Bottom/Strangling/Bottom9T11_Strangling_019.mp4,Violence,Corridor,Bottom,Strangling
PreViolence/Classroom/Top/CollarGrabbing/Top8T10_CollarGrabbing_021.mp4,PreViolence,Classroom,Top,CollarGrabbing
PreViolence/Classroom/Bottom/CollarGrabbing/Bottom8T10_CollarGrabbing_017.mp4,PreViolence,Classroom,Bottom,CollarGrabbing
Violence/Classroom/Center/KneeStrike/Center26T10_KneeStrike_008.mp4,Violence,Classroom,Center,KickingAttack
PreViolence/Classroom/Bottom/Pointing/Bottom8T10_Pointing_004.mp4,PreViolence,Classroom,Bottom,Pointing
Violence/Classroom/Bottom/Hitting/Bottom26T10_Hitting_019.mp4,Violence,Classroom,Bottom,Hitting
PreViolence/Classroom/Top/Pointing/Top8T10_Pointing_009.mp4,PreViolence,Classroom,Top,Pointing
Violence/Classroom/Bottom/Headlock/Bottom26T10_Headlock_014.mp4,Violence,Classroom,Bottom,Headlock
PreViolence/Classroom/Top/CollarGrabbing/Top8T10_CollarGrabbing_006.mp4,PreViolence,Classroom,Top,CollarGrabbing
Violence/Corridor/Bottom/Strangling/Bottom9T11_Strangling_012.mp4,Violence,Corridor,Bottom,Strangling
Violence/Classroom/Top/Hitting/Top26T10_Hitting_006.mp4,Violence,Classroom,Top,Hitting
Violence/Classroom/Bottom/Strangling/Bottom12T10_Strangling_020.mp4,Violence,Classroom,Bottom,Strangling
PreViolence/Classroom/Top/CollarGrabbing/Top8T10_CollarGrabbing_027.mp4,PreViolence,Classroom,Top,CollarGrabbing
PreViolence/Classroom/Top/CollarGrabbing/Top12T10_CollarGrabbing_006.mp4,PreViolence,Classroom,Top,CollarGrabbing
Violence/Corridor/Top/Kicking/Top9T11_Kicking_001.mp4,Violence,Corridor,Top,KickingAttack
PreViolence/Classroom/Bottom/Pointing/Bottom8T10_Pointing_018.mp4,PreViolence,Classroom,Bottom,Pointing
Violence/Corridor/Bottom/KneeStrike/Bottom9T11_KneeStrike_015.mp4,Violence,Corridor,Bottom,KickingAttack
Violence/Classroom/Bottom/Hitting/Bottom26T10_Hitting_007.mp4,Violence,Classroom,Bottom,Hitting
Violence/Corridor/Bottom/KneeStrike/Bottom16T11_KneeStrike_003.mp4,Violence,Corridor,Bottom,KickingAttack
PreViolence/Classroom/Bottom/Pointing/Bottom8T10_Pointing_010.mp4,PreViolence,Classroom,Bottom,Pointing
Violence/Corridor/Top/Headlock/Top16T11_Headlock_010.mp4,Violence,Corridor,Top,Headlock
PreViolence/Classroom/Bottom/Pushing/Bottom12T10_Pushing_020.mp4,PreViolence,Classroom,Bottom,Pushing
PreViolence/Classroom/Bottom/Pushing/Bottom12T10_Pushing_010.mp4,PreViolence,Classroom,Bottom,Pushing
Violence/Classroom/Center/Hitting/Center12T10_Hitting_013.mp4,Violence,Classroom,Center,Hitting
Violence/Corridor/Bottom/KneeStrike/Bottom16T11_KneeStrike_004.mp4,Violence,Corridor,Bottom,KickingAttack
Violence/Corridor/Bottom/KneeStrike/Bottom9T11_KneeStrike_008.mp4,Violence,Corridor,Bottom,KickingAttack
PreViolence/Classroom/Center/Pushing/Center8T10_Pushing_002.mp4,PreViolence,Classroom,Center,Pushing
PreViolence/Classroom/Top/Pointing/Top12T10_Pointing_015.mp4,PreViolence,Classroom,Top,Pointing
PreViolence/Classroom/Center/CollarGrabbing/Center8T10_CollarGrabbing_002.mp4,PreViolence,Classroom,Center,CollarGrabbing
Violence/Classroom/Center/Strangling/Center26T10_Strangling_006.mp4,Violence,Classroom,Center,Strangling
Violence/Classroom/Top/Hitting/Top12T10_Hitting_011.mp4,Violence,Classroom,Top,Hitting
Violence/Corridor/Bottom/Kicking/Bottom9T11_Kicking_006.mp4,Violence,Corridor,Bottom,KickingAttack
PreViolence/Classroom/Center/CollarGrabbing/Center8T10_CollarGrabbing_013.mp4,PreViolence,Classroom,Center,CollarGrabbing
Violence/Classroom/Bottom/Strangling/Bottom12T10_Strangling_016.mp4,Violence,Classroom,Bottom,Strangling
Violence/Classroom/Top/Strangling/Top26T10_Strangling_030.mp4,Violence,Classroom,Top,Strangling
Violence/Classroom/Top/Hitting/Top26T10_Hitting_018.mp4,Violence,Classroom,Top,Hitting
Violence/Classroom/Center/Strangling/Center12T10_Strangling_016.mp4,Violence,Classroom,Center,Strangling
Violence/Classroom/Top/Headlock/Top26T10_Headlock_020.mp4,Violence,Classroom,Top,Headlock
Violence/Classroom/Top/Hitting/Top26T10_Hitting_023.mp4,Violence,Classroom,Top,Hitting
PreViolence/Corridor/Bottom/Pointing/Bottom16T11_Pointing_002.mp4,PreViolence,Corridor,Bottom,Pointing
PreViolence/Classroom/Top/Pointing/Top12T10_Pointing_005.mp4,PreViolence,Classroom,Top,Pointing
PreViolence/Corridor/Bottom/Pointing/Bottom9T11_Pointing_003.mp4,PreViolence,Corridor,Bottom,Pointing
PreViolence/Classroom/Top/Pushing/Top8T10_Pushing_012.mp4,PreViolence,Classroom,Top,Pushing
Violence/Corridor/Bottom/Kicking/Bottom9T11_Kicking_007.mp4,Violence,Corridor,Bottom,KickingAttack
Violence/Corridor/Top/Headlock/Top16T11_Headlock_008.mp4,Violence,Corridor,Top,Headlock
Violence/Corridor/Bottom/Headlock/Bottom9T11_Headlock_004.mp4,Violence,Corridor,Bottom,Headlock
Violence/Classroom/Top/KneeStrike/Top26T10_KneeStrike_004.mp4,Violence,Classroom,Top,KickingAttack
Violence/Classroom/Top/KneeStrike/Top26T10_KneeStrike_011.mp4,Violence,Classroom,Top,KickingAttack
PreViolence/Corridor/Top/Pushing/Top9T11_Pushing_014.mp4,PreViolence,Corridor,Top,Pushing
Violence/Classroom/Center/Strangling/Center12T10_Strangling_022.mp4,Violence,Classroom,Center,Strangling
