video,class,scene,angle,behavior
PreViolence/Classroom/Bottom/KnuckleCracking/Bottom8T10_KnuckleCracking_006.mp4,PreViolence,Classroom,Bottom,KnuckleCracking
NonViolence/Corridor/Bottom/Bottom9T11_NonViolence_010.mp4,NonViolence,Corridor,Bottom,Bottom
NonViolence/Corridor/Top/Top16T11_NonViolence_104.mp4,NonViolence,Corridor,Top,Top
NonViolence/Classroom/Top/Top26T10_NonViolence_019.mp4,NonViolence,Classroom,Top,Top
PreViolence/Classroom/Top/ViolatingPersonalSpace/Top12T10_RestrictingVictimMovement_021.mp4,PreViolence,Classroom,Top,ViolatingPersonalSpace
PreViolence/Classroom/Center/ViolatingPersonalSpace/Center8T10_RestrictingVictimMovement _007.mp4,PreViolence,Classroom,Center,ViolatingPersonalSpace
NonViolence/Classroom/Center/Center26T10_NonViolence_020.mp4,NonViolence,Classroom,Center,Center
Violence/Classroom/Bottom/Strangling/Bottom26T10_Strangling_005.mp4,Violence,Classroom,Bottom,Strangling
NonViolence/Corridor/Top/Top9T11_NonViolence_052.mp4,NonViolence,Corridor,Top,Top
NonViolence/Classroom/Top/Top7T10_NonViolence_010.mp4,NonViolence,Classroom,Top,Top
NonViolence/Corridor/Top/Top9T11_NonViolence_034.mp4,NonViolence,Corridor,Top,Top
PreViolence/Classroom/Bottom/StretchingArmsShoulders/Bottom8T10_StretchingArmsShoulders_007.mp4,PreViolence,Classroom,Bottom,StretchingArmsShoulders
PreViolence/Corridor/Bottom/Pointing/Bottom9T11_Pointing_016.mp4,PreViolence,Corridor,Bottom,Pointing
PreViolence/Classroom/Bottom/ViolatingPersonalSpace/Bottom12T10_RestrictingVictimMovement_005.mp4,PreViolence,Classroom,Bottom,ViolatingPersonalSpace
NonViolence/Classroom/Bottom/Bottom12T10_NonViolence_017.mp4,NonViolence,Classroom,Bottom,Bottom
NonViolence/Classroom/Bottom/Bottom7T10_NonViolence_046.mp4,NonViolence,Classroom,Bottom,Bottom
PreViolence/Classroom/Center/PunchingOnesOwnHand/Center12T10_PunchingOnesOwnHand_009.mp4,PreViolence,Classroom,Center,PunchingOnesOwnHand
NonViolence/Corridor/Bottom/Bottom9T11_NonViolence_030.mp4,NonViolence,Corridor,Bottom,Bottom
NonViolence/Corridor/Top/Top9T11_NonViolence_017.mp4,NonViolence,Corridor,Top,Top
Violence/Corridor/Bottom/Hitting/Bottom9T11_Hitting_004.mp4,Violence,Corridor,Bottom,Hitting
PreViolence/Classroom/Center/KnuckleCracking/Center8T10_KnuckleCracking_013.mov,PreViolence,Classroom,Center,KnuckleCracking
Violence/Corridor/Bottom/PhysicalStruggle/Bottom16T11_PhysicalStruggle_003.mp4,Violence,Corridor,Bottom,PhysicalStruggle
Violence/Classroom/Bottom/Headlock/Bottom12T10_Headlock_012.mp4,Violence,Classroom,Bottom,Headlock
PreViolence/Classroom/Center/Pointing/Center12T10_Pointing_003.mp4,PreViolence,Classroom,Center,Pointing
Violence/Corridor/Top/StrikingWithObject/Top16T11_StrikingWithObject_007.mp4,Violence,Corridor,Top,StrikingWithObject
NonViolence/Corridor/Top/Top9T11_NonViolence_012.mp4,NonViolence,Corridor,Top,Top
PreViolence/Classroom/Center/ViolatingPersonalSpace/Center8T10_RestrictingVictimMovement _006.mp4,PreViolence,Classroom,Center,ViolatingPersonalSpace
PreViolence/Classroom/Top/CollarGrabbing/Top8T10_CollarGrabbing_016.mp4,PreViolence,Classroom,Top,CollarGrabbing
Violence/Classroom/Top/KneeStrike/Top26T10_KneeStrike_003.mp4,Violence,Classroom,Top,KneeStrike
Violence/Classroom/Bottom/Hitting/Bottom26T10_Hitting_016.mp4,Violence,Classroom,Bottom,Hitting
Violence/Corridor/Top/Kicking/Top9T11_Kicking_012.mp4,Violence,Corridor,Top,Kicking
PreViolence/Classroom/Bottom/Pushing/Bottom8T10_Pushing_007.mp4,PreViolence,Classroom,Bottom,Pushing
NonViolence/Classroom/Bottom/Bottom7T10_NonViolence_013.mp4,NonViolence,Classroom,Bottom,Bottom
PreViolence/Corridor/Top/CollarGrabbing/Top9T11_CollarGrabbing_005.mp4,PreViolence,Corridor,Top,CollarGrabbing
NonViolence/Corridor/Top/Top16T11_NonViolence_043.mp4,NonViolence,Corridor,Top,Top
Violence/Classroom/Top/Strangling/Top26T10_Strangling_036.mp4,Violence,Classroom,Top,Strangling
PreViolence/Classroom/Top/CollarGrabbing/Top8T10_CollarGrabbing_027.mp4,PreViolence,Classroom,Top,CollarGrabbing
NonViolence/Classroom/Center/Center26T10_NonViolence_006.mp4,NonViolence,Classroom,Center,Center
NonViolence/Corridor/Bottom/Bottom9T11_NonViolence_021.mp4,NonViolence,Corridor,Bottom,Bottom
NonViolence/Corridor/Bottom/Bottom16T11_NonViolence_161.mp4,NonViolence,Corridor,Bottom,Bottom
NonViolence/Classroom/Bottom/Bottom26T10_NonViolence_056.mp4,NonViolence,Classroom,Bottom,Bottom
PreViolence/Classroom/Center/CollarGrabbing/Center12T10_CollarGrabbing_005.mp4,PreViolence,Classroom,Center,CollarGrabbing
Violence/Classroom/Bottom/KneeStrike/Bottom26T10_KneeStrike_010.mp4,Violence,Classroom,Bottom,KneeStrike
NonViolence/Classroom/Center/Center8T10_NonViolence_005.mp4,NonViolence,Classroom,Center,Center
PreViolence/Classroom/Top/Pointing/Top8T10_Pointing_008.mp4,PreViolence,Classroom,Top,Pointing
PreViolence/Corridor/Top/Pointing/Top9T11_Pointing_010.mp4,PreViolence,Corridor,Top,Pointing
PreViolence/Classroom/Bottom/Pushing/Bottom8T10_Pushing_011.mp4,PreViolence,Classroom,Bottom,Pushing
NonViolence/Corridor/Bottom/Bottom9T11_NonViolence_048.mp4,NonViolence,Corridor,Bottom,Bottom
PreViolence/Classroom/Bottom/PunchingOnesOwnHand/Bottom8T10_PunchingOnesOwnHand_003.mp4,PreViolence,Classroom,Bottom,PunchingOnesOwnHand
Violence/Classroom/Center/Hitting/Center12T10_Hitting_007.mp4,Violence,Classroom,Center,Hitting
NonViolence/Classroom/Bottom/Bottom26T10_NonViolence_026.mp4,NonViolence,Classroom,Bottom,Bottom
Violence/Corridor/Top/PhysicalStruggle/Top16T11_PhysicalStruggle_006.mp4,Violence,Corridor,Top,PhysicalStruggle
Violence/Corridor/Top/Kicking/Top16T11_Kicking_014.mp4,Violence,Corridor,Top,Kicking
NonViolence/Corridor/Top/Top16T11_NonViolence_100.mp4,NonViolence,Corridor,Top,Top
NonViolence/Corridor/Bottom/Bottom16T11_NonViolence_058.mp4,NonViolence,Corridor,Bottom,Bottom
Violence/Classroom/Bottom/KneeStrike/Bottom26T10_KneeStrike_005.mp4,Violence,Classroom,Bottom,KneeStrike
NonViolence/Corridor/Top/Top9T11_NonViolence_023.mp4,NonViolence,Corridor,Top,Top
NonViolence/Classroom/Bottom/Bottom12T10_NonViolence_011.mp4,NonViolence,Classroom,Bottom,Bottom
Violence/Corridor/Top/Strangling/Top16T11_Strangling_004.mp4,Violence,Corridor,Top,Strangling
Violence/Corridor/Top/Headlock/Top9T11_Headlock_030.mp4,Violence,Corridor,Top,Headlock
Violence/Classroom/Top/Strangling/Top26T10_Strangling_009.mp4,Violence,Classroom,Top,Strangling
Violence/Classroom/Top/KneeStrike/Top26T10_KneeStrike_002.mp4,Violence,Classroom,Top,KneeStrike
PreViolence/Classroom/Top/StretchingArmsShoulders/Top8T10_StretchingArmsShoulders_017.mp4,PreViolence,Classroom,Top,StretchingArmsShoulders
PreViolence/Classroom/Bottom/StretchingArmsShoulders/Bottom8T10_StretchingArmsShoulders_024.mp4,PreViolence,Classroom,Bottom,StretchingArmsShoulders
PreViolence/Classroom/Bottom/Pointing/Bottom12T10_Pointing_005.mp4,PreViolence,Classroom,Bottom,Pointing
PreViolence/Classroom/Top/KnuckleCracking/Top8T10_KnuckleCracking_004.mp4,PreViolence,Classroom,Top,KnuckleCracking
Violence/Classroom/Top/KneeStrike/Top26T10_KneeStrike_004.mp4,Violence,Classroom,Top,KneeStrike
PreViolence/Classroom/Bottom/Pointing/Bottom12T10_Pointing_014.mp4,PreViolence,Classroom,Bottom,Pointing
PreViolence/Classroom/Top/Pushing/Top8T10_Pushing_018.mp4,PreViolence,Classroom,Top,Pushing
PreViolence/Classroom/Center/CollarGrabbing/Center12T10_CollarGrabbing_015.mp4,PreViolence,Classroom,Center,CollarGrabbing
NonViolence/Classroom/Top/Top7T10_NonViolence_016.mp4,NonViolence,Classroom,Top,Top
Violence/Corridor/Bottom/PhysicalStruggle/Bottom16T11_PhysicalStruggle_005.mp4,Violence,Corridor,Bottom,PhysicalStruggle
Violence/Corridor/Bottom/PhysicalStruggle/Bottom16T11_PhysicalStruggle_015.mp4,Violence,Corridor,Bottom,PhysicalStruggle
NonViolence/Classroom/Bottom/Bottom26T10_NonViolence_028.mp4,NonViolence,Classroom,Bottom,Bottom
PreViolence/Classroom/Bottom/PunchingOnesOwnHand/Bottom12T10_PunchingOnesOwnHand_008.mp4,PreViolence,Classroom,Bottom,PunchingOnesOwnHand
PreViolence/Classroom/Top/Pushing/Top8T10_Pushing_017.mp4,PreViolence,Classroom,Top,Pushing
PreViolence/Classroom/Bottom/KnuckleCracking/Bottom8T10_KnuckleCracking_009.mp4,PreViolence,Classroom,Bottom,KnuckleCracking
PreViolence/Classroom/Bottom/Pushing/Bottom12T10_Pushing_005.mp4,PreViolence,Classroom,Bottom,Pushing
NonViolence/Corridor/Top/Top9T11_NonViolence_067.mp4,NonViolence,Corridor,Top,Top
NonViolence/Corridor/Bottom/Bottom16T11_NonViolence_111.mp4,NonViolence,Corridor,Bottom,Bottom
NonViolence/Corridor/Top/Top9T11_NonViolence_063.mp4,NonViolence,Corridor,Top,Top
NonViolence/Corridor/Top/Top9T11_NonViolence_016.mp4,NonViolence,Corridor,Top,Top
PreViolence/Classroom/Bottom/CollarGrabbing/Bottom8T10_CollarGrabbing_022.mp4,PreViolence,Classroom,Bottom,CollarGrabbing
Violence/Classroom/Top/Headlock/Top26T10_Headlock_032.mp4,Violence,Classroom,Top,Headlock
PreViolence/Classroom/Center/ViolatingPersonalSpace/Center12T10_RestrictingVictimMovement_021.mp4,PreViolence,Classroom,Center,ViolatingPersonalSpace
NonViolence/Corridor/Bottom/Bottom9T11_NonViolence_051.mp4,NonViolence,Corridor,Bottom,Bottom
PreViolence/Classroom/Center/Pointing/Center12T10_Pointing_015.mp4,PreViolence,Classroom,Center,Pointing
NonViolence/Corridor/Bottom/Bottom16T11_NonViolence_143.mp4,NonViolence,Corridor,Bottom,Bottom
Violence/Corridor/Top/KneeStrike/Top9T11_KneeStrike_002.mp4,Violence,Corridor,Top,KneeStrike
PreViolence/Classroom/Center/CollarGrabbing/Center12T10_CollarGrabbing_010.mp4,PreViolence,Classroom,Center,CollarGrabbing
Violence/Classroom/Bottom/StrikingWithObject/Bottom26T10_StrikingWithObject_006.mp4,Violence,Classroom,Bottom,StrikingWithObject
Violence/Classroom/Bottom/Hitting/Bottom26T10_Hitting_017.mp4,Violence,Classroom,Bottom,Hitting
NonViolence/Classroom/Center/Center26T10_NonViolence_042.mp4,NonViolence,Classroom,Center,Center
PreViolence/Corridor/Bottom/Pointing/Bottom16T11_Pointing_017.mp4,PreViolence,Corridor,Bottom,Pointing
PreViolence/Classroom/Center/PunchingOnesOwnHand/Center12T10_PunchingOnesOwnHand_012.mp4,PreViolence,Classroom,Center,PunchingOnesOwnHand
Violence/Classroom/Top/Kicking/Top26T10_Kicking_017.mp4,Violence,Classroom,Top,Kicking
PreViolence/Classroom/Top/CollarGrabbing/Top8T10_CollarGrabbing_015.mp4,PreViolence,Classroom,Top,CollarGrabbing
Violence/Corridor/Bottom/Kicking/Bottom16T11_Kicking_022.mp4,Violence,Corridor,Bottom,Kicking
Violence/Classroom/Center/Hitting/Center26T10_Hitting_006.mp4,Violence,Classroom,Center,Hitting
NonViolence/Corridor/Top/Top16T11_NonViolence_010.mp4,NonViolence,Corridor,Top,Top
NonViolence/Classroom/Center/Center8T10_NonViolence_004.mp4,NonViolence,Classroom,Center,Center
PreViolence/Classroom/Bottom/ViolatingPersonalSpace/Bottom12T10_ViolatingPersonalSpace_002.mp4,PreViolence,Classroom,Bottom,ViolatingPersonalSpace
Violence/Corridor/Bottom/Hitting/Bottom9T11_Hitting_009.mp4,Violence,Corridor,Bottom,Hitting
Violence/Corridor/Bottom/KneeStrike/Bottom16T11_KneeStrike_016.mp4,Violence,Corridor,Bottom,KneeStrike
Violence/Classroom/Center/KneeStrike/Center26T10_KneeStrike_015.mp4,Violence,Classroom,Center,KneeStrike
NonViolence/Classroom/Bottom/Bottom26T10_NonViolence_048.mp4,NonViolence,Classroom,Bottom,Bottom
PreViolence/Classroom/Top/CollarGrabbing/Top12T10_CollarGrabbing_005.mp4,PreViolence,Classroom,Top,CollarGrabbing
NonViolence/Classroom/Bottom/Bottom26T10_NonViolence_010.mp4,NonViolence,Classroom,Bottom,Bottom
Violence/Corridor/Bottom/PhysicalStruggle/Bottom16T11_PhysicalStruggle_024.mp4,Violence,Corridor,Bottom,PhysicalStruggle
PreViolence/Classroom/Center/KnuckleCracking/Center8T10_KnuckleCracking_003.mov,PreViolence,Classroom,Center,KnuckleCracking
Violence/Classroom/Top/KneeStrike/Top26T10_KneeStrike_008.mp4,Violence,Classroom,Top,KneeStrike
Violence/Corridor/Top/Kicking/Top16T11_Kicking_015.mp4,Violence,Corridor,Top,Kicking
PreViolence/Classroom/Center/StretchingArmsShoulders/Center8T10_StretchingArmsShoulders_003.mp4,PreViolence,Classroom,Center,StretchingArmsShoulders
NonViolence/Classroom/Bottom/Bottom7T10_NonViolence_003.mp4,NonViolence,Classroom,Bottom,Bottom
